Longitude,Latitude,count,BNumber,SNumber,BDist,SDist,BName,SName,Loc,id,gradient,INT,BusDist,BusName,SchDist,SchName,RName,RDist,PubName,PubDist,GName,GDist
-1.665536,54.97521,10,0,0,570.592,298.959,Szal One Noiy czki,Lifestyle Express,Lismore Place,1,0.519095291064145,1069.1191,267.158,n502591857,71.452,n402471847,Baba Yaga,613.316,,412.061,0295EE53-3,126.103
-1.664073,54.976446,3,0,1,492.524,156.959,Red One Traditional Barbers,Lifestyle Express,Denhill Park,2,2.49893338209301,1189.4678,134.422,n502591857,198.491,n402471847,Kababissh,519.471,,319.905,0295EE53-3,285.29
-1.664038,54.98067,1,2,2,87.072,107.439,Showan Gentleman's Barber,Premier,Grange Road,3,0.0421443020903574,1426.6606,117.919,n502582156,459.961,n402667512,Rice Kungf,88.599,,621.574,,247.019
-1.663351,54.980551,2,2,2,106.842,101.097,Showan Gentleman's Barber,Premier,Hindley Gardens,4,0,1135.8567,112.627,n502582156,437.14,n402667512,Rice Kungf,105,,588.981,,201.934
-1.663088,54.974646,3,0,0,437.965,247.371,Szal One Noiy czki,Lifestyle Express,Broomridge Avenue,5,7.9335564646089,1081.0894,258.647,n502591856,203.255,n402667490,Kababissh,474.137,,282.232,0295EE53-3,185.792
-1.662416,54.976487,10,0,1,387.876,54.175,Red One Traditional Barbers,Lifestyle Express,Westholme Gardens,6,2.41411327762303,1189.0853,55.103,n502591856,256.711,n402667496,Kababissh,414.949,,218.915,0295ED1B-6,283.18
-1.662404,54.974186,1,0,0,374.046,285.152,Szal One Noiy czki,Lifestyle Express,Oakfield Gardens,7,3.43824385083311,1398.9486,281.697,n502591907,137.973,n402667490,Baba Yaga,408.953,,275.439,0295ED1B-5,176.932
-1.662202,54.981617,9,2,1,112.537,56.303,Showan Gentleman's Barber,Premier,Olive Place,8,0,1188.9919,31.808,n502582171,302.092,n402667512,Rice Kungf,104.871,,672.239,,185.547
-1.662147,54.980718,1,2,1,140.542,98.069,Showan Gentleman's Barber,Premier,Acanthus Avenue,9,0,1191.7288,100.26,n502582171,372.679,n402667512,Rice Kungf,134.745,,575.905,,128.919
-1.662065,54.971831,8,2,1,140.456,25.742,Szal One Noiy czki,Lidl,Supermarket,10,0,894.56335,85.081,n502591905,211.807,n402667490,Baba Yaga,189.517,Benwell Sp,398.38,0295ED1B-5,116.605
-1.661765,54.975919,1,0,1,341.862,88.507,Red One Traditional Barbers,Lifestyle Express,Weidner Road,11,6.8,1403.1725,104.45,n502591856,185.987,n402667496,Kababissh,368.194,,165.011,0295ED1B-6,280.513
-1.661701,54.979774,12,0,0,235.114,203.899,Showan Gentleman's Barber,Premier,Magnolia Close,12,2.03527815468114,1046.2344,133.85,n502582182,447.256,n402667512,Rice Kungf,231.031,,467.325,,118.894
-1.661698,54.97458,1,0,0,371.109,237.353,Red One Traditional Barbers,Lifestyle Express,Heyburn Gardens,13,2.52030243629236,1207.0515,253.567,n502591856,137.214,n402667490,Kababissh,392.704,,212.521,0295ED1B-5,235.695
-1.660884,54.980346,1,0,1,230.815,183.365,Showan Gentleman's Barber,Premier,Almond Place,14,1.35135135135135,1109.4689,58.357,n502582182,367.484,n402667512,Rice Kungf,224.701,,514.073,,43.902
-1.660753,54.96994,18,4,4,95.687,108.002,Carols Hairdresser,Kazy's Store,Joan Street,15,0,1412.0518,69.546,n502591933,215.817,n876439072,Baba Yaga,128.215,Benwell Sp,294.389,0295ECCB-2,57.974
-1.660485,54.975744,25,0,2,261.026,131.641,Red One Traditional Barbers,Lifestyle Express,Springhill Gardens,16,2.54710267071206,1204.5171,114.704,n502591855,109.354,n402667496,Kababissh,286.795,,83.339,0295ED1B-6,209.432
-1.660204,54.970262,3,5,5,45.966,75.317,Carols Hairdresser,Thomas Stores Ltd,Atkinson Terrace,17,7.89022298456261,1259.325,68.028,n502591903,227.053,n458702923,Baba Yaga,79.125,Benwell Sp,253.592,0295ECC6-0,103.99
-1.660122,54.967027,8,0,0,374.426,221.8,DJ's Barbers,Kazy's Store,Iveagh Close,18,11.8320610687023,1042.4047,135.049,n502591957,367.896,n402667460,Baba Yaga,430.647,Benwell Sp,461.226,0295ECF0-2,167.957
-1.659994,54.980254,3,0,0,285.327,225.08,Showan Gentleman's Barber,Narang's News 'n' Booze,Linden Avenue,19,0,1253.8344,24.331,n502582182,358.777,n402667512,Rice Kungf,278.865,,494.96,,21.918
-1.65997,54.976278,17,0,2,229.532,118.85,Red One Traditional Barbers,Lifestyle Express,Petrol Station,20,2.54710267071206,1402.0228,54.399,n502591855,144.56,n402667496,Kababissh,256.615,,70.317,0295ED1B-6,171.22
-1.659767,54.970144,19,5,5,51.838,55.247,Carols Hairdresser,Thomas Stores Ltd,Gerald Street,21,5.28550385581839,1184.8202,57.443,n502591903,198.873,n458702923,Baba Yaga,83.017,Benwell Sp,227.916,0295ECC6-0,73.682
-1.65974,54.971546,7,4,4,68.923,131.145,Szal One Noiy czki,Thomas Stores Ltd,Nichol Street,22,0,1136.7299,94.146,n502591904,156.192,n459078620,Baba Yaga,74.204,Benwell Sp,249.374,0295ED1B-5,165.346
-1.65966,54.973612,5,0,0,289.903,265.3,Szal One Noiy czki,Lidl,Condercum Road,23,5.8287795992714,1446.558,291.327,n502591904,44.369,n402667490,Baba Yaga,303.725,,248.943,0295ED1B-6,153.463
-1.659243,54.971203,7,5,4,73.686,86.405,Szal One Noiy czki,Thomas Stores Ltd,Nichol Court,24,4.80769230769231,1158.6072,68.847,n502591903,147.465,n459078620,Baba Yaga,42.45,Benwell Sp,204.606,0295ECC6-0,165.704
-1.659009,54.965649,4,0,0,513.8,383.12,Bobby's Barber,Kazy's Store,Violet Close,25,3.28863073374904,983.09778,106.235,n502591993,357.529,n402667460,Ahura,530.684,Benwell Sp,570.763,0295ECF0-2,324.595
-1.659001,54.966511,4,0,0,419.109,289.961,DJ's Barbers,Kazy's Store,Buddle Road,26,0,1301.0201,89.726,n502591955,312.105,n402667460,Ahura,453.968,Benwell Sp,480.158,0295ECF0-2,259.689
-1.658974,54.969701,13,5,5,68.535,69.127,DJ's Barbers,Polo Market - European Food Store,Ethel Street,27,0,1163.9113,88.932,n502591902,157.089,n458702923,Baba Yaga,137.77,Benwell Sp,196.05,0295ECC6-0,7.459
-1.658886,54.980179,2,0,1,352.907,163.419,Showan Gentleman's Barber,Narang's News 'n' Booze,Bracken Place,28,0,1017.8402,78.427,n502582182,356.458,n402667512,Rice Kungf,346.149,,484.34,,88.338
-1.658652,54.97644,8,1,3,151.96,52.145,Red One Traditional Barbers,Watan Foods,B1305,29,3.26119181737326,1466.5243,45.093,n502591854,161.381,n402667496,Kababissh,179.015,,76.029,0295ED1B-6,120.353
-1.658605,54.967247,3,0,0,334.167,222.867,Bobby's Barber,Kazy's Store,Pipe Track Lane,30,2.26586102719033,1180.1752,109.72,n502591955,268.474,n402667460,Ahura,376.888,Benwell Sp,394.66,0295ED1B-8,213.592
-1.658517,54.972108,4,3,2,167.506,189.703,Szal One Noiy czki,Thomas Stores Ltd,Dolphin Street,31,1.25470514429109,1298.5328,176.805,n502591903,68.362,n459078620,Baba Yaga,153.079,Benwell Sp,227.2,0295ED1B-6,131.971
-1.658322,54.974831,19,1,1,175.152,152.807,Red One Traditional Barbers,Watan Foods,Colston Street,32,0.715819613457409,1297.1116,160.398,n502591854,66.549,n402667496,Kababissh,190.11,,124.596,0295ED1B-6,38.485
-1.658053,54.969645,12,4,6,67.452,53.62,Bobby's Barber,Polo Market - European Food Store,Clara Street,33,3.22268772155978,1184.283,62.178,n502591902,106.689,n458702923,Baba Yaga,170.044,Benwell Sp,150.609,0295ECC6-0,53.122
-1.657924,54.970175,14,5,6,20.646,17.41,Bobby's Barber,Polo Market - European Food Store,Adelaide Terrace,34,0,1306.9586,3.455,n502591902,80.816,n458702923,Baba Yaga,133.535,Benwell Sp,112.9,0295ECC6-0,78.207
-1.657792,54.980149,14,0,1,408.838,110.548,Top Barber,Narang's News 'n' Booze,Palm Avenue,35,0,1215.8307,99.461,n502582154,363.163,n402667512,Rice Kungf,412.193,,488.898,,157.288
-1.657717,54.974227,21,0,0,210.434,213.74,Red One Traditional Barbers,Mini Euro Market,Canning Street,36,0,1221.9607,227.299,n502591854,117.054,n402667490,Kababissh,216.358,,202.117,0295ED1B-6,40.356
-1.657672,54.96675,4,0,0,383.303,300.886,Bobby's Barber,Kazy's Store,Merton Court,37,0,1019.1869,34.011,n502591955,223.102,n402667460,Ahura,381.19,Benwell Sp,430.054,0295ED1B-8,201.593
-1.657395,54.971692,8,4,3,152.338,176.094,M&J's Hair & Beauty Salon,The Village Supermarket,Bond Court,38,5.73065902578796,1163.9078,169.572,n502591902,38.788,n459078620,Baba Yaga,167.753,Benwell Sp,148.219,0295ED1B-6,140.397
-1.65724,54.967863,9,0,0,260.413,220.171,Bobby's Barber,Drinks Express,Birnie Close,39,2.16372160115398,998.3136,82.529,n502591966,184.436,n402667460,Ahura,266.621,Benwell Sp,303.105,0295ED1B-8,106.223
-1.656953,54.970442,18,4,5,50.029,68.201,Bobby's Barber,Drinks Express,Cochrane Street,40,3.99644760213144,1170.9747,65.58,n502591902,35.321,n458702923,Baba Yaga,176.881,Benwell Sp,44.691,0295ECC6-0,146.079
-1.656928,54.980686,7,0,1,366.63,29.276,Top Barber,Narang's News 'n' Booze,Greywood Avenue,41,0,1186.2501,180.067,n502591881,318.36,n402667512,Rice Kungf,449.237,,559.501,,212.204
-1.656791,54.967476,7,0,0,302.284,241.771,Legends Barber Shop,Premier,Keith Close,42,0,968.92853,125.852,n502591955,150.938,n402667460,Ahura,282.653,Benwell Sp,341.398,0295ED1B-8,103.752
-1.656757,54.976947,10,1,4,111.294,97.547,Red One Traditional Barbers,Euro Market,Baxter Avenue,43,2.68187655813251,1358.1005,111.214,n502591854,267.549,n402667496,Kababissh,125.261,,199.329,0295ED1B-6,120.497
-1.656737,54.968257,7,0,1,222.534,175.44,Bobby's Barber,Drinks Express,Maryhill Close,44,5.71065989847716,1001.3147,46.624,n502591966,170.437,n402667460,Ahura,212.734,Benwell Sp,254.579,0295ED1B-8,70.704
-1.656683,54.974637,16,2,5,148.803,155.547,Red One Traditional Barbers,Mini Euro Market,Strathmore Crescent,45,6.77678949597628,1302.8467,169.562,n502591852,173.231,n402667496,Kababissh,147.594,,208.616,0295ED1B-6,80.404
-1.65657,54.969533,17,5,8,98.862,38.947,Bobby's Barber,Drinks Express,Lawson Terrace,46,0.742942050520059,964.30078,87.811,n502591900,71.431,n458702923,Ahura,140.726,Benwell Sp,112.413,0295ECC6-0,148.873
-1.656537,54.967942,1,0,0,253.69,211.446,Legends Barber Shop,Drinks Express,Orton Close,47,0,990.23895,83.308,n502591966,143.777,n402667460,Ahura,230.803,Benwell Sp,288.396,0295ED1B-8,60.753
-1.656436,54.968805,8,3,6,171.634,117.806,Bobby's Barber,Drinks Express,Angel View,48,3.84985563041386,873.33881,50.903,n502591966,152.919,n458702923,Ahura,158.941,Benwell Sp,192.109,0295ED1B-8,89.545
-1.656261,54.974591,2,3,5,153.385,128.35,Red One Traditional Barbers,Mini Euro Market,Glebe Street,49,5.588543485854,1310.1915,166.553,n502591852,200.671,n402667496,Kababissh,147.227,,233.077,0295ED1B-6,107.087
-1.65619,54.964625,4,0,0,567.028,446.797,Legends Barber Shop,Premier,Farndale Road,50,0,1287.2722,74.862,n502591990,338.133,n402667460,Ahura,566.019,Benwell Sp,657.183,0295ED1B-8,392.7
-1.65619,54.973755,2,0,0,567.028,446.797,Legends Barber Shop,Premier,Farndale Road,51,0,1421.7335,247.29,n502591851,182.858,n402667490,Kababissh,239.713,,300.715,0295ED1B-6,106.229
-1.656102,54.97318,13,0,2,294.406,84.637,Hair By Firenza,Večerka,Wellfield Road,52,3.89105058365759,1311.6239,303.279,n502591851,153.844,n459078620,Kababissh,303.514,Benwell Sp,295.432,0295ED1B-6,66.1
-1.655661,54.971687,13,0,2,207.698,163.07,Bobby's Barber,Večerka,Barnesbury Road,53,3.78787878787879,1307.439,204.042,n502591900,121.456,n459078620,Ahura,246.374,Benwell Sp,134.814,0295ED1B-6,164.923
-1.655622,54.976324,28,4,5,65.186,30.782,Red One Traditional Barbers,Euro Market,Shipley Avenue,54,0,1293.4744,30.687,n502591852,275.397,n402667496,Kababissh,52.916,,235.107,0295ED1B-6,219.674
-1.655543,54.96909,4,3,6,126.081,108.415,Hi Lite,The Ambassador,Atherton Drive,55,0,1095.8256,87.321,n502591900,140.208,n458702923,Ahura,93.937,Benwell Sp,166.749,0295ED1B-8,106.116
-1.655522,54.978903,10,0,0,332.115,234.051,Red One Traditional Barbers,Narang's News 'n' Booze,Hoyle Avenue,56,0,1396.6985,39.623,n502582189,385.349,n402667502,Kababissh,335.147,,414.884,0295ED1B-6,239.288
-1.655491,54.973322,8,0,2,265.904,52.951,Hair By Firenza,Večerka,Ellesmere Road,57,5.52486187845304,1404.4963,276.094,n502591851,190.403,n459078620,Kababissh,289.606,Benwell Sp,315.03,0295ED1B-6,108.282
-1.655398,54.971408,9,2,2,195.56,142.089,Bobby's Barber,Asda,Gill Street,58,0.4212299915754,1236.1289,171.911,n502591900,149.348,n459078620,Ahura,211.543,Benwell Sp,112.806,0295ED1B-6,200.185
-1.655356,54.974553,21,4,7,136.325,74.246,Hair By Firenza,Mini Euro Market,Parking Area,59,0.918273645546373,1425.7705,143.909,n502591851,258.064,n402667496,Kababissh,156.414,,283.95,0295ED1B-6,124.601
-1.65504,54.980357,2,0,1,455.636,120.242,Top Barber,Narang's News 'n' Booze,Brand Avenue,60,0.113558937088349,1320.3621,154.418,n502582189,319.433,,Kababissh,499.443,,569.623,,330.871
-1.654834,54.96978,2,3,6,51.731,55.064,Hi Lite,The Ambassador,B1311,61,0.568828213879409,1332.7795,22.941,n502591901,124.965,n458702923,Ahura,35.464,Benwell Sp,124.133,0295ED1B-8,190.068
-1.654669,54.967191,6,0,1,265.681,149.717,Legends Barber Shop,Premier,Teindland Close,62,0,1044.9646,78.312,n502591960,36.465,n402667460,Tony's Kit,266.397,Benwell Sp,385.414,0295ED1B-8,122.889
-1.654514,54.97615,28,5,6,60.34,40.467,Kamran's Barber Shop,M.A.M.,Middleton Avenue,63,0,1293.4791,48.62,n502591851,330.3,n402667496,Little Ist,51.428,,278.77,0295ED1B-6,200.189
-1.654458,54.973625,2,0,2,213.842,63.455,Moh's Barbers,Mini Euro Market,Hampstead Road,64,0,1484.9052,230.495,n502591850,260.879,n459078620,Little Ist,245.886,,261.866,0295ED1B-6,114.997
-1.654406,54.970551,6,2,5,85.596,88.371,Hi Lite,Georgia's Filipino & Oriental Food Supply,Beech Street,65,5.92592592592593,1121.9465,96.504,n502591900,150.509,n458702923,Ahura,105.772,Benwell Sp,119.492,0295ED1B-8,280.144
-1.654322,54.96941,17,2,6,44.035,23.724,Legends Barber Shop,The Ambassador,Maria Street,66,0,1049.5079,32.822,n502591901,172.237,n458702923,Ahura,21.547,Benwell Sp,176.291,0295ED1B-8,165.179
-1.654181,54.967612,21,0,1,213.426,93.49,Legends Barber Shop,Premier,Troves Close,67,9.88593155893536,977.75671,72.773,n502591962,21.204,n402667460,Tony's Kit,216.042,Benwell Sp,351.154,0295ED1B-8,110.998
-1.654043,54.967315,2,0,1,245.076,117.266,Legends Barber Shop,Premier,Mulben Close,68,0,1054.0076,47.696,n502591960,31.716,n402667460,Tony's Kit,248.676,Benwell Sp,385.116,0295ED1B-8,137.972
-1.653828,54.968707,4,2,4,89.536,59.822,Legends Barber Shop,Premier,Caroline Street,69,7.8414750450355,1034.8561,47.665,n502591961,140.999,n402667460,Tony's Kit,93.98,Benwell Sp,256.099,0295ED1B-8,132.86
-1.653583,54.973568,6,0,2,207.577,86.301,Barber Ahmad,Mini Euro Market,Ladykirk Road,70,3.80771061399334,1416.2422,214.641,n502591850,300.857,n459078620,Pinar,239.173,,218.447,0295ED1B-6,100.577
-1.653566,54.970126,3,2,4,45.689,41.784,Hi Lite,Georgia's Filipino & Oriental Food Supply,Axbridge Gardens,71,7.4465008675535,1156.4017,78.504,n502591901,198.353,n458702923,Tony's Kit,68.922,Benwell Sp,178.949,0295ED1B-8,258.44
-1.653305,54.978609,7,0,0,286.734,207.876,Sab's Men's Hair Designs,Fenham Continental Foodstore,Hadrian Road,72,0,1328.6764,141.653,n502591878,239.894,n402667502,Little Ist,313.856,,454.856,0295ED1B-6,346.436
-1.653233,54.979768,10,0,0,337.2,253.225,Sab's Men's Hair Designs,Narang's News 'n' Booze,Sutherland Avenue,73,0,1264.8774,194.851,n502582189,300.355,n402667502,Little Ist,442.522,,576.613,0295ED1B-6,413.869
-1.653059,54.972713,8,0,2,292.038,117.902,Barber Ahmad,Večerka,Fairholm Road,74,3.39875945279973,1427.2242,302.828,n502591850,291.441,n459078620,Pinar,320.393,,267.832,0295ED1B-6,196.526
-1.652765,54.965182,2,0,0,484.63,345.599,Legends Barber Shop,Premier,Isabella Close,76,0,1025.8766,135.099,n502591951,278.248,n402667460,Tony's Kit,491.979,Benwell Sp,636.114,0295ECD9-E,167.592
-1.652597,54.970124,5,2,3,96.62,91.429,Legends Barber Shop,Georgia's Filipino & Oriental Food Supply,Brancepeth Avenue,77,7.74464389114071,1157.4606,116.808,n502591898,260.4,n458702923,Tony's Kit,107.905,Benwell Sp,239.58,0295ED1B-8,295.176
-1.65241,54.971992,6,0,1,263.747,193.906,Hi Lite,Večerka,Normount Road,78,7.88505344314,1222.4678,290.44,n502591901,323.212,n459078620,Tony's Kit,289.438,Benwell Sp,296.165,0295ED1B-6,282.891
-1.652326,54.978103,16,0,1,216.301,133.693,Sab's Men's Hair Designs,Fenham Continental Foodstore,Gowland Avenue,79,1.05293733207465,1488.8866,77.866,n502591878,167.288,n402667502,Little Ist,275.376,,382.6,0295ED1B-6,392.36
-1.652215,54.974616,17,5,4,78.688,82.319,Barber Ahmad,Northeast Halal Food Store,Benwell Grove,80,2.33527939949958,1435.1031,94.729,n502591850,406.95,n402667502,Pinar,102.741,,86.905,0295ED1B-6,78.696
-1.652032,54.974121,4,3,4,135.011,138.561,Barber Ahmad,Northeast Halal Food Store,Normount Avenue,81,0,1228.7966,139.634,n502591849,417.62,n459078620,Pinar,157.541,,102.917,0295ED1B-6,96.609
-1.651902,54.97466,5,5,4,80.131,85.777,Barber Ahmad,Northeast Halal Food Store,Normount Gardens,82,0,1229.8054,80.995,n502591849,394.929,n402667502,Pinar,98.195,,66.297,0295ED1B-6,99.324
-1.65166,54.970121,3,2,3,144.982,148.564,Legends Barber Shop,Georgia's Filipino & Oriental Food Supply,Coventry Gardens,83,7.38221032061953,1174.4835,91.754,n502591898,277.373,n459079974,Tony's Kit,160.06,Benwell Sp,298.784,0295ECF0-2,295.685
-1.651504,54.977337,3,1,1,179.453,107.466,Sab's Men's Hair Designs,Fenham Continental Foodstore,Milvain Avenue,84,1.42748382185002,1432.0499,103.973,n502591880,134.595,n402667502,Pinar,203.932,,288.756,0295ED1B-6,342.233
-1.65149,54.964513,5,0,0,572.777,433.907,Legends Barber Shop,Premier,Amelia Walk,85,0,1166.916,196.661,n502591951,381.269,n402667460,Tony's Kit,582.306,Benwell Sp,736.333,0295ECD9-E,136.744
-1.651239,54.980876,1,0,0,351.691,227.313,Sab's Men's Hair Designs,Medina Food Store,Nuns Moor Crescent,86,2.7012987012987,1273.442,214.832,n502580634,213.987,,Little Ist,589.75,,680.376,0295ECF0-2,424.847
-1.651223,54.979106,1,1,1,190.258,140.182,Sab's Men's Hair Designs,Fenham Continental Foodstore,Hall Avenue,87,0,1185.1056,89.848,n502591878,158.069,n402667502,Pinar,401.263,,483.437,0295ECF0-2,399.362
